,Text,encoded_Author
154,"Anglo-Dutch food-to-detergent group Unilever Plc , reporting third quarter results next Friday, is likely to have suffered from restructuring costs for its North American industrial cleaning business Diversey and from weak ice cream sales in a drab European summer, analysts said.",47
155,"The trial of prominent Chinese dissident and former student leader Wang Dan for the capital charge of plotting to overthrow the government is expected to be held behind closed doors soon, a family member said on Tuesday.",3
156,"Members of the Halifax Building Society, Britain's largest mortgage lender, on Monday voted overwhelmingly to convert the mutually-owned financial giant into a public company and float it on the stock exchange.",17
157,"Kellogg Co. Friday reported a profit for the fourth quarter, reversing a year-ago loss, but said the U.S. and British breakfast cereal markets remained difficult.",36
158,"A thankful Elizabeth Forsyth, a former aide of Polly Peck head Asil Nadir, walked free from court on Thursday after three judges allowed her appeal against a five-year sentence for handling stolen money.",17
159,"Apple Computer Inc. will lay off more employees this year as part of its plan to return to profitabilty by 1998, an Apple spokesman said Friday.",25
160,Shares in English soccer champions Manchester United powered to record highs on Friday after the club's chief executive said the club was a likely bid target.,21
161,"Merger synergies that were supposed to carry Pharmacia &amp; Upjohn Inc through a dry spell in its new product pipeline are not being realized as planned, raising questions about the drug giant's short-term future.",22
162,"China will accelerate listings of new firms on its two stock markets next year to meet demand and curb speculation, a senior securities official said.",14
163,"China would, if requested by Hong Kong, provide its support to stabilise fluctuations in the territory's financial markets after the handover next year, China's central bank governor said on Wednesday.",45
164,"Talks between Caterpillar Inc. and the United Auto Workers will resume with the help of a federal mediator, the parties said Friday, almost a year and a half after striking workers returned to the work at the heavy machinery maker.",5
165,"The story of Sea Launch sounds like the daring fiction of a Bond movie -- with corporate giants from Russia, the U.S., Norway and Ukraine joining forces to build the ultimate in space technology, firing satellite rockets into space from the Pacific Ocean.",8
166,Australian-based insurer QBE Insurance Group Ltd said on Tuesday that profit growth was likely to surge into the high teens for the full 1996/97 year after only a slight increase in its first quarter profit.,4
167,"Chinese and U.S. scientists are making good progress in meetings on China's decision to ban poultry imports from the United States, a U.S. source said on Thursday.",27
168,"Channel 5, the British terrestrial television channel gearing up for launch next month, is confident of winning a five percent share of UK viewing by the end of the year, chief executive David Elstein said on Tuesday.",21
169,Coupon clipping is coming to cyberspace.,9
170,"As Czech leaders finally get around to discuss a worrying surge in the trade deficit, analysts suggest a mixed bag of macro and micro-economic fixes, but most say devaluing the crown should be avoided.",18
171,"Australia's biggest retailer Coles Myer Ltd on Thursday reported a 41 percent surge in half-year earnings, its first profit rise in almost two years.",30
172,"Former Archer Daniels Midland Co executive Mark Whitacre, who acted as an informant in an antitrust case against the company, on Friday filed suit against ADM seeking back wages and punitive damages.",36
173,"A Tibetan nun has had her jail term doubled to 18 years for refusing to recognise Beijing's choice as the reincarnation of the region's second holiest monk, the Tibet Information Network (TIN) said on Monday.",3
174,"China's flagship futures bourse, the Shanghai Metal Exchange, has ambitions to become Asia's premier metals trading floor, but economic realities are holding it back, the exchange's president said on Friday.",27
175,"Second-shift workers at General Motors Corp. 's Cadillac assembly plant here will not report to work on Monday because of the Canadian Auto Workers strike and thousands more U.S. assembly employees may be laid off this week, GM said on Sunday.",7
176,Britain's commercial television watchdog on Thursday invited applications to run terrestrial frequencies which will multiply the number of channels available to viewers in the new digital age.,21
177,"Demand is the engine that will drive China's metals markets in 1997, said analysts and traders who expect a modest flow of money to keep consumption of base metals such as aluminium and copper ticking over.",27
178,Economic commentators in Hong Kong are sounding alarms about the unbridled optimism spurring stock and property prices to new highs ahead of the British colony's return to Chinese sovereignty on July 1.,42
179,"Sony Corp. on Monday cut the U.S. price of its PlayStation video game machine by 25 percent to $149, a move that is expected to boost the entire video game industry.",25
180,"China looks likely to slow the pace of reform in its financial markets, the late Deng Xiaoping's most startling experiment, as his successors make stability their top priority this year, analysts said on Sunday.",11
181,"Last week's stern crackdown on China's stock markets has increased the speculative instinct of investors to trade on rumours of policy shifts rather than on fundamentals, analysts said on Monday.",11
182,"Just months ago, shipping magnate Tung Chee-hwa was a retiring man who avoided the limelight, kept his political views secret, and seemed to steer an even keel between his loyalties to China and Britain.",37
183,"Japanese life insurers, already unhappy at having to help out ailing Nippon Credit Bank, are angry at the Finance Ministry which they say has ignored trouble at failed insurer Nissan Mutual Life for years.",10
184,British electricity generator PowerGen spent 202 million pounds ($328 million) on Thursday buying back five percent of its own shares at 605 pence each in one of the first such moves since rules were changed in October.,16
185,"Seven years after the ""Velvet Revolution"" over communism, journalists still do not have to check their political views at the gate to Prague Castle, but they now better hide their Rolling Stones t-shirts under more serious attire.",18
186,Hyatt Hotels Corp. said Monday it will spend $1 billion over the next three years to acquire 20 to 30 hotels.,5
187,"Hewlett-Packard Co. stock surged in heavy trading Wednesday, a day after the computer and printer maker reported surprisingly strong first-quarter profits that were its highest in eight years.",41
188,"Russia's aluminium industry has roared back to life with strong 1996 output figures and forecasts of small growth, but analysts say no new investments which could fundamentally reshape the sector are on the horizon.",28
189,Talks aimed at averting a potentially crippling auto supplier strike at  American Axle &amp; Manufacturing Inc continued on Saturday morning after bargainers worked past the midnight Friday deadline.,48
190,"British supermarket group J. Sainsbury stunned markets on Friday and sent its shares reeling as it admitted the cost of improving sales will hit profits, wiping some 60 million pounds ($98 million) off forecasts.",16
191,"Leading Chinese dissident Chen Ziming has been placed under tight police surveillance after his release on medical parole and needs permission to consult a doctor, a relative said on Thursday.",3
192,"It began with a whimper, culminated in an economic explosion and was one of the most far-reaching events of the 20th century.",14
193,"A few years ago, one company led the market for an exciting new technology called groupware, which enabled workers at different locations to use computers to collaborate on business projects.",41
194,"In an exercise dubbed by China as a ""democratic election with Hong Kong characteristics"", this bustling territory goes to the polls on Friday. But only 400 citizens out of 6.3 million people in the colony will be voting.",37
195,"Chinese authorities have imposed a curfew on a town in the restive northwestern Xinjiang region after at least 10 people were killed in a separatist Moslem riot last week, officials and local residents said on Monday.",43
196,"Chinese importers are expected to make incremental use of import quotas for 1.3 million tonnes of palm oil to avoid driving up the world price and pushing down the domestic price, Far East traders said on Friday.",27
197,Shares in Pearson Plc fell on Thursday as the stock market gave an initial thumbs-down to the appointment of an American woman publishing executive as chief executive of the British media group.,21
