Author,Text
candidate00001,"U.S. banks will be able to significantly increase their securities underwriting activities under a rule adopted Friday by the Federal Reserve, but that will only add pressure on Congress to overhaul the entire regulatory system, market participants said.
"
candidate00001,"The Federal Reserve took another step Friday toward eliminating the barriers between banking and other financial service industries, voting to allow banks to further invade the turf of Wall Street securities firms.
"
candidate00001,"The Federal Communications Commission proposed Tuesday to trim the $23 billion a year that long-distance telephone companies pay to local service providers in access fees.
"
candidate00001,"The Federal Communications Commission has tentatively decided not impose fees on Internet service providers for use of local telephone lines, an official said Thursday.
"
candidate00001,"The Commerce Department will issue final rules on Dec. 30 to implement its new policy on export of computer encoding products, but the proposal is unlikely to mollify the software industry and privacy advocates who objected to a draft version.
"
candidate00001,"House Banking Committee chairman Jim Leach introduced a bill on Tuesday aimed at remaking the regulatory landscape for banking and other financial services in the United States.
"
candidate00001,"A computer scientist barred from exporting a floppy disk containing computer encryption programming asked a federal court Friday to strike down the export limits as a violation of his right to free speech.
"
candidate00001,"Fast running out of options, federal credit unions are hoping the Supreme Court will decide Friday to wade into the midst of their six-year legal battle with the banking industry.
"
candidate00001,"The growing mass of Internet users have paid their fair share to local telephone companies and pose little threat to the phone system, according to a study released on Wednesday by a coalition of Internet and computer companies.
"
candidate00001,"The growing mass of Internet users have paid their fair share to local telephone companies and pose little threat to the phone system, a study by a group of Internet and computer companies said Wednesday.
"
candidate00001,"Prospects for comprehensive reform of U.S. banking and financial services laws remain bright despite a far-reaching proposal being considered by the Clinton Administration that has upset some banks.
"
candidate00001,"With the Clinton administration busily reworking its 1995 proposal overhauling the U.S. financial services sector, one faction in the Treasury Department is recommending a more far reaching plan this time around, people familiar with the matter said.
"
candidate00001,"Just days after a U.S. graduate student cracked the most powerful computer encryption system allowed out of the country, the Commerce Department announced it would allow three companies to export an even stronger system.
"
candidate00001,"An influential economic research group is preparing guidelines on computer encryption for its member countries but will duck some of the most contentious issues involved, according to a draft obtained by Reuters.
"
candidate00001,"An influential global research group is preparing guidelines on encryption policy for its member countries but will duck some of the most contentious issues involved, according to a draft of the report obtained by Reuters.
"
candidate00001,"An international Internet group released its plan Wednesday to dramatically increase the number of available addresses in cyberspace while quelling disputes over the use of trademarks in those address names.
"
candidate00001,"The various sectors of the U.S. financial services industry will spar over bank reform proposals at a hearing on Tuesday before the House Banking Committee's subcommittee on financial institutions.
"
candidate00001,"The debate over reforming America's financial services sector, a top priority for Congress and the Clinton administration, began in earnest Tuesday.
"
candidate00001,"Internet access providers and others who met with Net-savvy lawmakers said they fear Congress will wreak havoc on cyberspace but are also heartened by the growing number of legislators who understand the global computer network.
"
candidate00001,"Several U.S. legislators are planning to introduce measures soon to relax export restrictions on encryption technology, an increasingly essential part of global communications and online commerce.
"
candidate00001,"Internet access providers and others who met with Net-savvy lawmakers said they fear Congress will wreak havoc on cyberspace but are also heartened by the growing number of legislators who understand the global computer network.
"
candidate00001,"Internet access providers and others who met with Net-savvy lawmakers said they fear Congress will wreak havoc on cyberspace but are also heartened by the growing number of legislators who understand the global computer network.
"
candidate00001,"A scuffle breaking out between a top U.S. bank regulator and the state of Rhode Island could foreshadow an increasing number of disputes as more national banks begin selling insurance products, market participants said.
"
candidate00001,"Federal Reserve Chairman Alan Greenspan on Friday urged Congress to modernise U.S. financial laws but warned that some government oversight must be maintained to avert financial catastrophes.
"
candidate00001,"The Supreme Court said Monday it would decide whether a federal regulator had properly allowed credit unions to expand their membership over the past 15 years, settling a long-running legal dispute between the cooperative non-profits and banks.
"
candidate00001,"The Commodity Futures Trading Commission, one of the nation's primary regulators of derivatives, has no authority over most foreign currency transactions, the Supreme Court said Tuesday.
"
candidate00001,"Legislators introduced two bills Thursday to overturn the Clinton administration's export limits on computer encryption technology, a key component of online commerce and global communications.
"
candidate00002,"It may be only the second qualifier on the long road leading to the 1998 World Cup but the Czech Republic and Spain are approaching Wednesday night's European group six match as though it were a battle for the final.
"
candidate00002,"Shares on most central and eastern European bourses gained ground this week though there were some indications the upturn may be short-lived.
"
candidate00002,"The Czech Republic and Spain played out a scoreless draw in their World Cup group six qualifier on Wednesday, in a match that never lived up to expectations.
"
candidate00002,"The Czech Republic and Spain played to a scoreless draw in their World Cup group six qualifier on Wednesday, in a lacklustre match that failed to live up to its marquee billing.
"
candidate00002,"Investors smiled on the bourses of central and eastern Europe as brightly as the summer sun this week, though there were some indications these may by little more than fair-weather friends to the markets.
"
candidate00002,"It's a Snip, bidding to become the ninth horse to win two years in succession in the 106-year history of the Pardubice steeplechase, leads a British raid to this city east of Prague on Sunday.
"
candidate00002,"East European bourses were mostly higher this week with the Warsaw Stock Exchange leading the way, hitting a 30-month high before easing slightly on profit-taking.
"
candidate00002,"Top seed Goran Ivanisevic cruised to a 7-6 6-4 win over Romania's Adrian Voinea in the first round of the Czech Indoor Open on Monday.
"
candidate00002,"Wimbledon champion and fourth seed Richard Krajicek crashed out of the first round of the Czech Indoor Open on Tuesday, losing 6-4 6-3 to Germany's David Prinosil.
"
candidate00002,"Third seed Boris Becker, fresh from his first title since injuring his wrist at Wimbledon, cruised to a 6-3 6-4 victory over Denmark's Frederik Fetterlein in the Czech Indoor Open on Wednesday.
"
candidate00002,"Boris Becker withdrew from the Czech Indoor Open on Thursday because of a recurring wrist injury, while top seed Goran Ivanisevic crashed out to Czech Petr Korda 7-6 6-2.
"
candidate00002,"Third seed Boris Becker withdrew from the $475,000 Czech Indoor Open on Thursday because of a recurring wrist injury.
"
candidate00002,"Third seed Boris Becker on Thursday withdrew from the $475,000 Czech Indoor Open due to a recurring injury to his right wrist.
"
candidate00002,"Britain's Tim Henman emerged on Friday as the only seed in the $475,000 Czech Indoor Open semifinals.
"
candidate00002,"Second seed Wayne Ferreira and fifth seed Todd Martin both went down to straight set defeats in the $475,000 Czech Indoor Open quarterfinals on Friday.
"
candidate00002,"Britain's Tim Henman emerged on Friday as the only seed to advance to the semifinals of the $475,000 Czech Indoor Open.
"
candidate00002,"Germany's David Prinosil ended rising British star Tim Henman's bid for his first ATP Tour victory on Saturday, while Czech Petr Korda halted compatriot Martin Damm's quest for his second final appearance in two weeks.
"
candidate00002,"Germany's David Prinosil, in a homecoming of sorts, overwhelmed Czech Petr Korda 6-1 6-2 in the final of the $475,000 Czech Indoor Open on Sunday.
"
candidate00002,"The Prague Stock Exchange on Tuesday, buoyed by financial sector share gains, continued to rebound from its recent slump, closing higher for the third consecutive session.
"
candidate00002,"The Prague Stock Exchange on Tuesday, buoyed by financial sector share gains, continued to rebounds from its recent slump, closing higher for the third consecutive session.
"
candidate00002,"The Czech September trade deficit should hold steady at around 14 billion crowns after a 14.7 billion crown monthly deficit in August, a Reuters poll of Czech economists showed on Wednesday.
"
candidate00002,"The Czech September trade deficit is expected to grow by between 13 and 15 billion crowns after a 14.7 billion crown monthly deficit in August, a Reuters poll of Czech economists showed on Wednesday.
"
candidate00002,"The Czech monthly trade deficit eased in September to 10.5 billion crowns from 14.5 billion in August, buoying market sentiment which had not expected the lowest single month total since January.
"
candidate00002,"The fall in the Czech trade deficit to 10.5 billion crowns in September from 14.5 billion in August buoyed market sentiment, and the goods imported show industrial restructuring is on track, analysts said on Thursday.
"
candidate00002,"The Prague Stock Exchange suffered one of its biggest one-day falls ever on Friday, as waning foreign interest due to a lack of market transparency continues to run roughshod over the beleaguered bourse.
"
candidate00002,"The Prague Stock Exchange suffered one of its biggest one-day falls on Friday as foreign interest waned because of a lack of market transparency.
"
candidate00002,"Czech telephone operator SPT Telecom a.s. on Thursday said its nine-month gross profit hit 6.0 billion crowns, in line with analysts predictions and likely to have little effect on the firm's share price.
"
candidate00002,"Czech telephone operator SPT Telecom a.s. on Thursday reported a nine-month gross profit of 6.0 billion crowns, in line with forecasts, and said outlays for investment rose significantly in the period.
"
candidate00002,"A Czech central bank scheme to buy doubtful debts of smaller banks and restore stability to the banking sector has attracted interest from about 10 banks, the Czech news agency reported on Wednesday.
"
candidate00002,"Investors, fed up with a lack of transparency and the poor performance of the Czech equity market, are turning to the country's less opaque debt market, buoyed by favourable interest rates and economic data.
"
candidate00002,"Czech paper concern Sepap Group a.s. on Friday said its nine-month net profit fell as a shutdown of its main paper mill, coupled with a downturn in the paper cycle bit into its bottom line.
"
candidate00002,"Czech paper concern Sepap Group a.s. on Friday said its nine-month net profit fell as a shutdown of its main paper mill, coupled with a downturn in the paper cycle bit into its bottom line.
"
candidate00002,"Czechs cold-shouldered their newly-created Senate on Saturday, turning out in record low numbers for elections which were supposed to be a key test for the minority government of Prime Minister Vaclav Klaus.
"
candidate00002,"Czechs cold-shouldered their newly-created Senate on Saturday, turning out in record low numbers for elections which were supposed to be a key test for the minority government of Prime Minister Vaclav Klaus.
"
candidate00002,"Czech equity and forex markets pushed higher on Monday, buoyed by a strong showing by Prime Minister Vaclav Klaus's rightwing Civic Democratic Party (ODS) in the first round of Senate elections at the weekend.
"
candidate00002,"The Czech capital market, roundly criticised for a lack of transparency, needs an independent regulator, but it is not a panacea for all of the market's woes, a senior Finance Ministry official said on Tuesday.
"
candidate00002,"Senate runoff elections on Friday and Saturday should have little impact on Czech capital markets, as investors focus on macroeconomic fundamentals, not political influences.
"
candidate00002,"Senate runoff elections on Friday and Saturday should have little impact on Czech capital markets, as investors focus on macroeconomic fundamentals rather than political influences.
"
candidate00002,"Sweden beat the Czech Republic 3-0 in a World Cup ice hockey game on Thursday, setting up a showdown for European group supremacy against Finland and leaving the reigning world champions searching for answers.
"
candidate00002,"The party of right-wing Czech Prime Minister Vaclav Klaus took a solid lead in Senate election run-offs on Saturday, but turnout was dismal despite an appeal to vote from President Vaclav Havel.
"
candidate00002,"The three-party coalition of right-wing Czech Prime Minister Vaclav Klaus won a majority of seats on Saturday in run-off elections to parliament's new upper house, the Senate.
"
candidate00002,"A strong showing in runoff Senate elections at the weekend may breathe new life into the Czech governing coalition, but it will do little to resuscitate the country's dormant capital market, analysts said on Sunday.
"
candidate00002,"The Prague Stock Exchange hit a new year-high on Thursday as major banking issues broke out of a recent slump to spur the bourse higher.
"
candidate00002,"Czech share prices rallied following the coalition government's win in weekend Senate elections, but analysts said the rise is due more to a technical correction than a change in investor sentiment.
"
candidate00002,"Czech shares rallied on Monday following the coalition government's win in weekend Senate elections, but analysts said the rise was due more to a technical correction than to a change in investor sentiment.
"
candidate00002,"Czech shares rallied on Monday following the coalition government's win in weekend Senate elections, but analysts said the rise was due more to a technical correction than to a change in investor sentiment.
"
candidate00002,"The Czech trade deficit jumped sharply in October, rising nearly 16 billion crowns, but analysts said they were not alarmed by the rise which is inline with their full year forecasts.
"
candidate00002,"The Czech trade deficit jumped sharply in October, rising nearly 16 billion crowns ($600 million), but analysts were not alarmed by the rise, which was in line with their full year forecasts.
"
candidate00002,"Markets across Eastern Europe
"
candidate00002,"Markets across Eastern Europe remained mired in an autumn slump this week, with analysts seeing little on the horizon to break the bearish trend.
"
candidate00003,"Financial services and property group Liberty International vowed on Thursday to change the way the British pensions market works with the launch of a new user-friendly subsidiary.
"
candidate00003,"Financial services and property group Liberty International Holdings on Thursday unveiled a move into the British pensions market in ventures involving the British Telecom Pension Scheme and pension fund management group Hermes.
"
candidate00003,"A high-profile purge at Deutsche Morgan Grenfell of any managers found to bear responsibility for failing to spot irregular dealings by former fund manager Peter Young is expected next week, banking sources said on Friday.
"
candidate00003,"Shares in Cable &amp; Wireless (C&amp;W) advanced on Tuesday after investors welcomed news of a deal with NYNEX of the United States and Bell Canada International to create Britain's largest cable operator.
"
candidate00003,"Cable and telecoms giants Cable &amp; Wireless, NYNEX Corp of the U.S. and Bell Canada International on Tuesday announced the formation of a major new British cable player by merging the operations of their British subsidiaries.
"
candidate00003,"Britain's largest cable television company was born Tuesday in the merger of the British operations of cable and telecommunications giants Cable &amp; Wireless, NYNEX Corp. of the United States and Bell Canada International.
"
candidate00003,"Britain's largest cable operator was born on Tuesday from the merger of the British operations of cable and telecoms giants Cable &amp; Wireless, NYNEX Corp of the U.S. and Bell Canada International.
"
candidate00003,"Cable and telecoms giants Cable &amp; Wireless, NYNEX Corp and Bell Canada International on Tuesday announced the formation of a major new British cable player by merging the operations of their British subsidiaries.
"
candidate00003,"Britain's largest home loan lender, Halifax Building Society, said on Thursday it was confident of avoiding any takeover attempt when it floats on the stock market and sheds mutuality for bank status next June.
"
candidate00003,"Britain's Halifax Building Society is confident of avoiding any takeover attempts once it sheds its mutual status and becomes a publicly quoted bank in June next year, a senior official said on Thursday.
"
candidate00003,"The ""Big Bang"" maintained London as one of the world's financial hubs, but 10 years on the role of specialised financial ""boutiques"" at the heart of the City is under mounting pressure from huge integrated investment banks.
"
candidate00003,"Lloyd's insurance market on Tuesday welcomed a crucial U.S. district court ruling in its favour and said it would extend a deadline for acceptances of a 3.2 billion pound ($5.5 billion) recovery plan.
"
candidate00003,"Britain's Invesco Plc Monday agreed to merge with Houston-based mutual fund company AIM Management Group Inc. in a deal valued at $1.6 billion, creating one of the world's largest investment management businesses.
"
candidate00003,"British fund manager Invesco announced its widely-expected merger with U.S. mutual fund company AIM Management Group on Monday, creating one of the world's largest investment management businesses.
"
candidate00003,"Britain's Invesco Plc Monday agreed to merge with Houston-based mutual fund company AIM Management Group Inc. in a deal valued at $1.6 billion, creating one of the world's largest investment management businesses.
"
candidate00003,"British fund manager Invesco announced its widely-flagged merger with U.S. mutual fund company AIM Management Group on Monday, creating one of the world's largest investment management businesses.
"
candidate00003,"British property company Greycoat Plc, under fire from a group of shareholders calling for it to be broken up, said on Monday it was confident of getting the support of its institutional shareholders in rejecting the plan.
"
candidate00003,"KPMG, one of the world's big six international accounting and consultancy firms, believes investment in infrastructure and technology has put it on track to hasten revenue growth.
"
candidate00003,"Top managers in major financial firms need to be razor-sharp if the world's increasingly complex markets are to run smoothly, however sophisticated the regulatory regime, regulators and politicians said on Thursday.
"
candidate00003,"British property company Greycoat is unlikely to crumble under pressure from rebel shareholders who want it broken up or succumb to a merger approach from smaller rival Moorfield Estates, analysts said on Monday.
"
candidate00003,"Final approval for Lloyd's of London's recovery plan edged closer on Wednesday as it declared that over 90 percent of members had accepted a settlement offer aimed at securing the 300-year-old insurance market's future.
"
candidate00003,"Final approval for Lloyd's of London's recovery plan edged closer Wednesday as it declared that over 90 percent of members had accepted a settlement offer aimed at securing the 300-year-old insurance market's future.
"
candidate00003,"British merchant bank Hambros, under fire from a rebel Hong Kong shareholder calling for its breakup, reported a return to first-half profit on Wednesday and said the benefits of restructuring should begin to show through.
"
candidate00003,"British merchant bank Hambros, under fire from a rebel Hong Kong shareholder calling for its breakup, reported a return to first-half profit on Wednesday and said the benefits of restructuring should begin to show through.
"
candidate00003,"Shareholders in British property company Greycoat on Thursday left a large question-mark hanging over the future of the group, which is currently facing a break-up demand and a merger proposal from a smaller rival.
"
candidate00003,"Britain's investment watchdog on Thursday punished companies in the Robert Fleming group for rule breaches, with fines totalling 700,000 pounds ($1.09 million).
"
candidate00003,"Privately owned British investment bank Robert Fleming on Wednesday announced increased pre-tax profits for the first half of the year which it said underlined its ability to remain independent.
"
candidate00003,"Privately-owned British investment bank Robert Fleming on Wednesday announced increased pre-tax profits for the first half of the year but warned it would have to contend with some difficult markets in the second half.
"
candidate00003,"Privately-owned British investment bank Robert Fleming on Wednesday announced increased pre-tax profits for the first half of the year which it said underlined its ability to remain independent.
"
candidate00003,"Mention moneylending to most Britons and their instant reaction is ""you mean loan-sharks!"".
"
candidate00003,"British venture capital firm 3i Group Plc on Thursday reported a rise in first half net asset value (NAV) per share and revenue profits but said it had been held back by continental Europe and a strong pound.
"
candidate00003,"UK investment capital group 3i Group Plc said on Thursday the increase in its first half net asset value (NAV) per share was healthy but had been partly held back by continental Europe and a strong pound.
"
candidate00003,"The British arm of accountancy firm Coopers &amp; Lybrand, auditors for failed British bank Barings, said on Friday it had issued third party proceedings against nine former directors and employees of the bank.
"
candidate00003,"Singapore's Hotel Properties and property group Canary Wharf on Friday applied for detailed planning consent for a development aimed at injecting life into an office-dominated area of London's former docks.
"
candidate00003,"Embattled British property company Greycoat had the immediate threat of a shareholder call for its break-up removed on Thursday, but the firm still faced an unwanted merger proposal from a smaller rival.
"
candidate00003,"British property group MEPC on Thursday announced a 14 percent increase in pretax profits for the year but said a writedown on a Los Angeles shopping mall had reduced its net asset value (NAV).
"
candidate00003,"British property group MEPC said on Thursday it was pleased with a rise in pretax profits for the year but admitted disappointment at a fall in its net asset value (NAV) to 450 pence per share from 457 pence.
"
candidate00003,"It may sound like a dull backwater but the role of compliance has again been thrust into the limelight as yet another respected financial institution was rapped by the authorities this week for breaking the rules.
"
candidate00003,"Members of the Transport and General Workers Union (T&amp;G) at Tradeteam, the distribution arm of the brewing operation of Britain's Bass Plc, are to vote on strike action over proposed pay cuts, the union said on Friday.
"
candidate00003,"Former Barings executive Ron Baker plans to bring a counter-claim in a lawsuit against him by Dutch bank ING Barings for repayment of a loan he is alleged to have received, his lawyer told Reuters on Friday.
"
candidate00003,"The debt restructuring package hammered out between Anglo-French Channel Tunnel operator Eurotunnel and its creditors may not be able to withstand any extra financial demands resulting from last month's fire, secondary debt trading firm Klesch &amp; Co said on Thursday.
"
candidate00003,"Following a bumper year in 1996, yet more British companies are likely to be takeover targets in 1997, but much of the merger and acquisition activity will be in the form of agreed deals, corporate financiers say.
"
candidate00003,"Britain's Takeover Panel, after battling to defend its policing role of London's busy mergers and acquisitions market against European interference, has ended the year in the spotlight over its handling of CE Electric's bid for Northern Electric.
"
candidate00003,"CE Electric, the U.S. energy group, appeared poised to win its hostile bid for British regional electricity group Northern Electric Plc on Tuesday after Britain's Takeover Panel ruled against the target firm.
"
candidate00003,"Increased confidence means a third of British companies expect to raise property holdings over the next six months, according to a survey by the Confederation of British Industry (CBI) and property consultants Grimley.
"
candidate00003,"Hunting so-called ""fat cats"" - the biggest company boardroom earners - may have become a British media obsession but the pay packets of the country's top players are under even closer scrutiny from institutional shareholders.
"
candidate00003,"After several shaky starts, Britain's commercial property market looks set to build on some improvement during 1996, but property experts stress there will not be a return to the sort of boom seen during the 1980s.
"
candidate00003,"Even if British media and leisure group Pearson decides to sell its interest in merchant banking group Lazards, the bank would not be under immediate threat from larger rivals, banking sources said on Monday.
"
candidate00003,"European privatisations in 1997 could total a record $53 billion, with the telecommunications and utilities sectors expected to dominate activity, U.S. investment bank J.P. Morgan said in a report on Monday.
"
candidate00003,"British yachtsman Tony Bullimore's survival for four days in the icy Southern Ocean owes much to the high-tech safety equipment available to the modern sailor.
"
candidate00004,"Beijing's top negotiator with rival Taipei sought on Tuesday to allay Taiwan's fears that China would swallow up the island if Taipei lifts a decades-old ban on direct trade and transport links between the two.
"
candidate00004,"China said on Wednesday Japan was heading for confrontation with an election platform reiterating Tokyo's claim to disputed islands in the East China Sea but said it was not too late for Japan to stop its reckless gamble.
"
candidate00004,"China's propaganda tsars have axed all the novels and two films of controversial writer Wang Shuo, among the earliest victims of a crusade to resurrect communist puritanism.
"
candidate00004,"China's Communist Party leader Jiang Zemin appears to be making all the right moves to shore up his position to retain power after the death of paramount leader Deng Xiaoping, diplomats and analysts said on Friday.
"
candidate00004,"The mother of detained Chinese dissident Wang Dan said on Monday she would defend her son against the capital charge of plotting to overthrow the government and that he was prepared for a heavy sentence.
"
candidate00004,"The mother of detained Chinese dissident Wang Dan said on Monday she would defend her son in court against the capital charge of plotting to overthrow the government.
"
candidate00004,"The trial of prominent Chinese dissident and former student leader Wang Dan for the capital charge of plotting to overthrow the government is expected to be held behind closed doors soon, a family member said on Tuesday.
"
candidate00004,"China's flamboyant tycoon Mou Qizhong is hounded by creditors, faces lawsuits and investigation for alleged irregularities and cannot leave the country, company officials said.
"
candidate00004,"China sent a senior official to attend a reception at the Ukraine embassy on Friday despite a diplomatic rift over a visit to Kiev by Taiwan's vice president Lien Chan.
"
candidate00004,"A son-in-law of China's paramount leader Deng Xiaoping has resigned as director of the armament department of the People's Liberation Army (PLA), Chinese sources with close ties to the military said on Sunday.
"
candidate00004,"China's paramount leader Deng Xiaoping, reported to be in fragile health, was absent from a rally on Tuesday to pay tribute to him and other survivors of the 1934-36 Long March.
"
candidate00004,"China on Tuesday slammed Taiwan for failing to crack down on a new opposition party seeking independence for the island and warned that separatism was ""a road to death"".
"
candidate00004,"China demanded on Monday that the United States cancel plans to sell Stinger missiles, launchers and other weapons to Taiwan to prevent ""new damage"" to slowly recovering Sino-U.S. relations.
"
candidate00004,"China said on Friday that Taiwan was a pawn and toy of hostile Western forces out to weaken and divide the country and thwart its development.
"
candidate00004,"A group of foreign legal experts has asked China for permission to observe next week's trial of detained dissident Wang Dan, a human rights group said on Saturday.
"
candidate00004,"Beijing Mayor Li Qiyan is to step down in a long-delayed reshuffle after the downfall of his mentor, the Chinese capital's disgraced Communist Party boss Chen Xitong, sources with close ties to the city government said on Sunday.
"
candidate00004,"The mayor of China's capital resigned on Tuesday in a reshuffle that had been expected since the downfall last year of his mentor, disgraced Beijing Communist Party boss Chen Xitong, in a corruption scandal.
"
candidate00004,"One of China's most prominent dissidents, Wang Dan, will likely receive a harsh sentence for the charge of plotting to overthrow the government, his mother said on Tuesday.
"
candidate00004,"China began the trial of prominent dissident and former student leader Wang Dan on Wednesday on the capital charge of plotting to overthrow the government, a court official said.
"
candidate00004,"The father of Chinese dissident Wang Dan protested his son's innocence on Wednesday, just hours before the start of the former student leader's trial, and said the family would not give in to the authorities.
"
candidate00004,"China called on Taiwan on Tuesday to show goodwill by lifting a decades-old ban on direct trade and transport links, saying attempts by the island nation to block such links would be futile.
"
candidate00004,"Chinese dissident Wang Dan has appealed against his 11-year jail sentence for plotting to subvert the government, but his mother said on Tuesday she held little hope of an acquittal or a lighter sentence.
"
candidate00004,"Leading Chinese dissident Chen Ziming has been placed under tight police surveillance after his release on medical parole and needs permission to consult a doctor, a relative said on Thursday.
"
candidate00004,"China announced on Saturday a massive restructuring of one of its biggest conglomerates after reportedly meting out a suspended death sentence to the son of the former company chairman, one of the country's ruling elite.
"
candidate00004,"Two Chinese magazines are struggling for survival after being targeted in a crusade by China's propaganda tsars to cleanse the media of liberal influences, Chinese sources said.
"
candidate00004,"China's former first lady Wang Guangmei auctioned her private antique collection on Tuesday and said she would use proceeds to help impoverished mothers.
"
candidate00004,"Taiwanese business leader Kao Ching-yuan on Wednesday urged Beijing to resume talks with Taiwan, saying the island's investors would lose confidence in China if political friction impeded relations.
"
candidate00004,"China's exports climbed again in October as slow demand at home encouraged companies to ship abroad and the government expanded credit to exporters, newspapers and a government economist said Wednesday.
"
candidate00004,"China has vowed to curb the influence of Buddhism in Tibet, saying religion would have to bow to socialism.
"
candidate00004,"China's exports climbed again in October due to sluggish domestic demand, faster payment of export tax rebates and an expansion of credit to exporters, newspapers and a government economist said on Wednesday.
"
candidate00004,"China announced on Thursday that a court had rejected the appeal by a son of one of the country's politically powerful families, upholding a suspended death sentence for bribery.
"
candidate00004,"China will defrock radical monks in Tibet in a crackdown that could last up to five years in a bid to uproot the influence of the Dalai Lama in his Himalayan homeland, a Chinese propaganda official said on Thursday.
"
candidate00004,"A Chinese court on Friday will consider the appeal of dissident Wang Dan against his 11-year sentence for plotting to overthrow the government, a hearing held days before a visit by U.S. Secretary of State Warren Christopher.
"
candidate00004,"China's Supreme Court announced on Thursday that a court has rejected the appeal of a son of one of the country's political elite, upholding a suspended death sentence for bribery.
"
candidate00004,"A Chinese court on Friday took 10 minutes to reject the appeal of dissident Wang Dan and uphold an 11-year prison sentence for subversion, his mother said.
"
candidate00004,"American movies, hamburgers, jeans -- and U.S. bashing -- are all the rage in China today.
"
candidate00004,"A Tibetan nun has had her jail term doubled to 18 years for refusing to recognise Beijing's choice as the reincarnation of the region's second holiest monk, the Tibet Information Network (TIN) said on Monday.
"
candidate00004,"Chinese activists, in a statement on Tuesday hours ahead of a visit by the U.S. Secretary of State, protested against American backing for Japan's bid to become a permanent member of the U.N. Security Council.
"
candidate00004,"Bankruptcies in China -- unheard of for almost four decades -- are expected to more than double in number this year as authorities try to shed hopelessly indebted firms.
"
candidate00004,"Two sons of Beijing's disgraced Communist Party boss, Chen Xitong, have been detained and face possible prosecution for economic crimes, Chinese sources said on Friday.
"
candidate00004,"China's breakaway Catholic Church has ordained about 50 graduates of one of the country's biggest seminaries into the priesthood this year, clergy at the seminary said on Monday.
"
candidate00004,"Chinese President Jiang Zemin tried to reassure Taiwanese businessmen on Thursday, saying Beijing would not allow political differences to stand in the way of trade and investment.
"
candidate00004,"The seven-year-old boy chosen by China as Tibet's second holiest monk attended a ritual in Beijing last week to celebrate the first anniversary of his enthronement, major Chinese newspapers said on Wednesday.
"
candidate00004,"China on Thursday savoured its latest victory in a diplomatic tug-of-war with Taiwan, while the stunned island scrambled to limit the damage from South Africa's decision to abandon it.
"
candidate00004,"China has retired its navy and air force commanders due to old age, a source familiar with the reshuffle said on Tuesday.
"
